Student,Pronouns,ClassTime,IntLeadership,ExpLeadership,IntElecProto,ExpElecProto,IntProg,ExpProg,IntMechCAD,ExpMechCAD,IntMechFab,ExpMechFab,Prefs,AntiPrefs,ProjTopics
CT,he/him,B,5,4,2,2,5,5,1,2,2,2,OD;YO;GD,,food makers;speech recognizers;art makers;music makers;mechatronic puzzle boxes;mechatrionic smart speaker / home assistants;mobile robots;music audio-visualizers
DE,she/her,C,3,4,3,3,5,5,2,1,3,2,CP;SP;EI,,food makers;art makers;mechatronic puzzle boxes;responsive playground equipment;reactive kinetic sculptures;mechatronic penny arcade games;projectile launchers
DI,he/him,A,4,4,4,3,1,2,4,5,5,5,PG;BS,,speech recognizers;mechatrionic smart speaker / home assistants;part sorters;mechatronic penny arcade games;mobile robots
DQ,he/him,A,5,3,1,1,2,2,5,5,3,5,YQ,VR;JL,reactive kinetic sculptures;gantry systems;mobile robots;projectile launchers
DS,she/her,C,3,4,1,1,5,3,4,4,4,3,ND;NF;KA;PS;KW,SE;LG,mechatronic penny arcade games;art makers;music makers;projectile launchers
DV,she/her,B,5,4,3,2,2,2,3,3,5,3,LS,,food makers;responsive playground equipment;reactive kinetic sculptures;mobile robots;projectile launchers;gantry systems
DZ,they/them,B,3,4,3,3,3,5,3,4,3,3,NF;KA;PJ;EO;PH;IS,WB;CI,food makers;speech recognizers;art makers;music makers;reactive kinetic sculptures;part sorters;mobile robots;projectile launchers;music audio-visualizers
EC,he/him,B,5,4,3,2,4,2,1,1,1,1,NO;JS,,food makers;art makers;music makers;responsive playground equipment;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mobile robots;All of these sound great;music audio-visualizers;to be honest. I haven't put too much thought into what I want to do and I would rather discuss with my team what we want to do after we form the team rather than form the team based on project idea.
EG,she/her,C,4,4,4,3,3,3,1,2,1,1,PG;BM;UH;IT,KC,food makers;art makers;music makers;reactive kinetic sculptures;part sorters;projectile launchers;music audio-visualizers
EI,she/her,A,4,5,1,1,2,2,3,4,3,4,WQ;DE;CP;SP,FJ;DI,and slide rules ;reactive kinetic sculptures;Space;flying things;mobile robots;projectile launchers
EO,she/her,C,4,4,3,3,4,3,2,2,2,3,GN;WP;GP;LX,DV;JD,reactive kinetic sculptures;art makers;music audio-visualizers;responsive playground equipment
ES,she/her,C,2,2,2,3,3,3,2,3,2,1,TZ;WQ;LO;ES,ZW,art makers;mechatronic puzzle boxes;responsive playground equipment;reactive kinetic sculptures;mobile robots;projectile launchers
EW,she/her,B,4,4,2,1,2,4,5,4,4,3,FG,WB,food makers;mechatronic puzzle boxes;reactive kinetic sculptures;mobile robots;projectile launchers;gantry systems
FE,she/her,A,4,4,3,1,2,1,5,4,5,3,ZA;TE;KA,IE;HD,speech recognizers;art makers;music makers;reactive kinetic sculptures;music audio-visualizers
FG,he/him,A,2,2,2,2,3,3,5,4,5,4,EW,AC,Kinetic sculptuire;gantry systems
FJ,she/her,A,2,4,4,2,3,2,5,5,5,5,MZ,,music makers;responsive playground equipment;reactive kinetic sculptures;mobile robots;projectile launchers;things that bounce
FN,he/him,B,5,5,2,3,5,5,4,2,1,2,RW;WK,EC,music makers;reactive kinetic sculptures;part sorters;mobile robots;projectile launchers;music audio-visualizers
FR,he/him,C,5,4,1,1,5,4,2,1,5,3,MX;SD;VS;QO;MP;KD,HN,speech recognizers;mechatronic puzzle boxes;part sorters;projectile launchers;gantry systems
FX,she/her,A,3,5,3,3,4,2,2,4,2,3,WQ;JY,JP,speech recognizers;art makers;responsive playground equipment;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;projectile launchers;music audio-visualizers
FZ,she/her,C,3,4,1,1,2,1,4,4,4,2,,VX,reactive kinetic sculptures;food makers;I was super interested in 3d printer like ideas - pointilisim plotter/cnc writing ideas -  cnc pancake design 
GD,she/her,C,4,3,1,2,4,3,5,5,5,5,YO;CT,RI,art makers;reactive kinetic sculptures;trash collectors ;mobile robots;gantry systems
GH,he/him,B,2,2,2,2,3,3,3,2,3,2,HK;KA,,art makers;music makers;responsive playground equipment;mechatronic puzzle boxes;reactive kinetic sculptures;mechatronic penny arcade games;music audio-visualizers
GK,he/him,C,3,1,5,4,3,5,4,2,5,1,,,art makers;music makers;mechatrionic smart speaker / home assistants;mobile robots;projectile launchers;music audio-visualizers
GN,he/him,C,2,3,3,2,4,3,3,3,3,2,WP;GP;LX;EO,WB,food makers;speech recognizers;art makers;music makers;responsive playground equipment;mechatronic puzzle boxes;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mechatrionic smart speaker / home assistants;mobile robots;projectile launchers;music audio-visualizers;gantry systems
GP,she/her,A,3,1,4,2,4,3,1,2,2,1,GN;WP;LX;EO,RB,food makers;mechatronic puzzle boxes;responsive playground equipment;reactive kinetic sculptures;mobile robots
HD,she/her,C,5,4,1,3,2,3,5,4,5,4,UR;IE,FE,Anything challenging that requires a true interdisciplinary team effort.;mechatronic puzzle boxes;mechatrionic smart speaker / home assistants;mechatronic penny arcade games;mobile robots;projectile launchers;gantry systems
HF,she/her,A,5,5,3,2,1,1,5,5,5,5,,,part sorters;art makers;music makers;gantry systems
HI,he/him,C,4,3,3,2,3,2,4,4,4,2,WD;KG,NO;XH,food makers;art makers;music makers;mechatronic puzzle boxes;mechatronic penny arcade games
HK,he/him,B,2,4,4,3,2,3,5,4,5,4,ND;GP;LG;CI;GH;BL,SE,food makers;art makers;music makers;mobile robots;projectile launchers;gantry systems
HN,she/her,C,3,3,3,2,5,5,1,2,1,1,,FZ,food makers;art makers;responsive playground equipment;Ping pong playing machine;gantry systems
HQ,he/him,A,4,3,3,3,4,3,5,4,5,4,YV;XG;IO;ZW,,small flywheel - precision controlled kinetic energy storage system
IE,she/her,C,4,5,5,3,3,4,1,3,1,2,UR;HD,FE,music makers;mechatronic puzzle boxes;reactive kinetic sculptures;part sorters;mobile robots;music audio-visualizers
IK,she/her,B,5,3,3,2,2,3,5,3,4,5,,CJ;FE,food makers;mechatronic puzzle boxes;music makers;mobile robots;projectile launchers
IO,he/him,C,4,4,1,2,5,4,2,3,1,2,YV;HQ;XG;ZW,VR,mobile robots;music audio-visualizers;projectile launchers
IS,she/her,B,3,3,3,2,2,2,2,3,3,3,BD;NF;KW,FE,food makers;mechatronic puzzle boxes;mechatrionic smart speaker / home assistants;mechatronic penny arcade games;mobile robots;Mechatronic Lighting Projects
IT,she/her,A,4,3,3,4,4,3,4,3,4,3,PG;UH;BM;EG,,reactive kinetic sculptures;art makers;music makers;projectile launchers
IU,she/her,C,3,3,2,2,1,1,5,5,5,4,RW;RL;WK;AS,,music makers;mechatrionic smart speaker / home assistants;part sorters;mechatronic penny arcade games;mobile robots;projectile launchers;music audio-visualizers
IY,he/him,B,3,3,1,1,2,1,5,5,5,4,LC,GK,food makers;music makers;mechatronic puzzle boxes;reactive kinetic sculptures;part sorters;mobile robots
JD,he/him,B,3,3,1,1,1,2,4,4,4,4,YQ,,food makers;mechatronic puzzle boxes;reactive kinetic sculptures;mechatronic penny arcade games;mobile robots;projectile launchers
JG,she/her,B,2,4,2,2,5,5,3,3,4,3,,VR,part sorters;mobile robots;gantry systems
JI,she/her,C,3,3,3,3,5,5,1,1,1,2,YA;OY;BC,UM,art makers;responsive playground equipment;reactive kinetic sculptures;mechatronic penny arcade games;definitely interested in working on something with a social justice/sustainability/accessibility lens or a fun game depending on what it is
JL,he/him,B,4,4,5,4,5,3,1,1,1,1,YQ,VR;DQ,food makers;mechatronic puzzle boxes;reactive kinetic sculptures;mobile robots;projectile launchers;gantry systems
JN,she/her,C,5,3,1,2,2,1,2,2,3,1,,,food makers;art makers;part sorters;mobile robots;projectile launchers;gantry systems
JO,she/her,C,4,3,1,2,5,4,3,3,4,3,,OD;RY,art makers;music makers;mechatronic puzzle boxes;mechatrionic smart speaker / home assistants;reactive kinetic sculptures;mobile robots;gantry systems
JP,she/her,C,4,3,2,2,3,2,3,2,5,3,,,food makers;speech recognizers;art makers;music makers;responsive playground equipment;mechatrionic smart speaker / home assistants;part sorters
JR,he/him,C,3,3,5,2,5,5,1,2,4,2,YV;KM;SZ;HN,VR;EC,art makers;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mobile robots;projectile launchers;gantry systems
JS,she/her,C,3,4,5,3,3,3,1,1,3,3,,PS;JG,art makers;part sorters;like walle. also a project that is more arty than technical;music audio-visualizers;could be an environmental sorter or packer
JX,he/him,C,3,4,4,3,4,4,1,2,1,1,,,speech recognizers;Assistive Tech / Public Interest related;responsive playground equipment;mechatrionic smart speaker / home assistants;mobile robots
JY,he/him,B,4,2,3,1,5,1,3,5,4,2,FX,,food makers;mechatronic puzzle boxes;responsive playground equipment;mechatrionic smart speaker / home assistants;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mobile robots;projectile launchers;gantry systems
KA,he/him,B,3,4,4,3,4,3,4,5,4,4,TE;LS;ZA,HK,food makers;speech recognizers;art makers;music makers;responsive playground equipment;mechatronic puzzle boxes;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mechatrionic smart speaker / home assistants;mobile robots;projectile launchers;music audio-visualizers;gantry systems
KC,he/him,C,3,4,2,2,1,1,5,4,5,5,,XH,food makers;art makers;music audio-visualizers
KD,he/him,B,4,4,1,2,1,4,5,4,5,3,MX;FR;VS;QO;MP,RY;FE,food makers;art makers;reactive kinetic sculptures;mechatronic penny arcade games;projectile launchers;music audio-visualizers
KG,he/him,A,4,5,5,3,2,2,1,2,2,3,PW;RS;YP;SO;VV;WK,JP,food makers;speech recognizers;mechatronic puzzle boxes;mechatrionic smart speaker / home assistants;mobile robots
KM,she/her,C,3,3,4,4,5,5,1,2,1,2,,,part sorters;food makers;mobile robots;gantry systems
KV,he/him,B,4,4,1,2,4,4,4,4,3,3,ZV,DV;WB,reactive kinetic sculptures;art makers;responsive playground equipment
KW,she/her,B,2,3,4,2,5,4,1,1,1,1,NF;BD;IS,RB,food makers;art makers;music makers;part sorters;Small scale manufacturing
LC,she/her,B,4,4,2,2,5,5,2,2,3,2,IY,,Maestro Cam from Rainbow 6 Siege (wall-mounted pan-tilt camera with transparent open/close visor);music makers;music audio-visualizers;projectile launchers
LD,he/him,B,4,5,4,3,5,4,2,2,3,2,,FJ,mechatronic puzzle boxes;responsive playground equipment;mechatrionic smart speaker / home assistants;reactive kinetic sculptures;mechatronic penny arcade games;part sorters;mobile robots
LG,he/him,B,5,4,2,2,5,5,5,5,4,4,HK;UM;BR;GH;JI;BL,WB,art makers;music makers
LO,he/him,C,5,4,2,1,5,3,2,5,2,4,TZ;WQ;ES,LT;MU,reactive kinetic sculptures;art makers;mechatronic puzzle boxes
LS,she/her,B,3,4,3,3,3,4,2,3,2,5,DV;KV;EO;GN;WP;KW,,part sorters;mechatrionic smart speaker / home assistants;music makers;projectile launchers
LT,she/her,C,3,3,4,4,4,4,1,1,1,1,UO;VE,,speech recognizers;art makers;music makers
LX,he/him,C,1,3,3,2,2,3,5,4,5,3,GN;WP;GP;EO,FE;HD,part sorters;food makers;mobile robots;gantry systems
MM,he/him,B,4,5,4,3,4,3,2,1,4,1,OD;WS;GD,FJ;LD,mechatrionic smart speaker / home assistants;mechatronic puzzle boxes;mobile robots;projectile launchers
MP,she/her,C,3,4,1,2,5,5,2,2,1,2,NF;KA;FR;VS;QO;KD,HN;WB,robots;art makers;music makers;responsive playground equipment;mechatronic puzzle boxes;reactive kinetic sculptures;mechatronic penny arcade games;mobile robots;projectile launchers
MS,she/her,C,3,2,2,2,2,2,5,5,5,4,,,music makers;reactive kinetic sculptures;mechatronic penny arcade games;mobile robots;Automatic bass player;gantry systems
MU,she/her,A,5,4,3,3,4,3,3,1,3,2,,LO,food makers;art makers;music makers;mechatronic puzzle boxes;reactive kinetic sculptures;mobile robots
MW,he/him,B,5,4,3,3,4,4,2,2,5,4,FG;EW;PJ;PH;OW;YO,,art makers;reactive kinetic sculptures;mobile robots;projectile launchers;gantry systems
MX,he/him,A,1,3,2,3,1,2,5,5,5,4,HI;SD;FR;BS;SR;VE,XX;EC,food makers;music makers
MY,she/her,A,2,4,3,4,4,3,4,2,5,3,,,food makers;speech recognizers;art makers;music makers;responsive playground equipment;part sorters;mechatronic penny arcade games;electronic blinds/security system;mobile robots;projectile launchers;music audio-visualizers
MZ,she/her,A,1,4,2,2,5,5,2,1,2,2,FJ,RY,food makers;art makers;music makers;reactive kinetic sculptures;mobile robots;projectile launchers;music audio-visualizers
NB,he/him,A,2,3,4,4,1,2,4,3,5,4,TZ;BY;UM;ES,HK,food makers;art makers;responsive playground equipment;reactive kinetic sculptures;part sorters;mobile robots;projectile launchers
ND,he/him,A,2,2,5,3,4,3,1,2,2,2,DS,WB,art makers;mechatronic puzzle boxes;reactive kinetic sculptures;mobile robots;projectile launchers;music audio-visualizers
NE,she/her,C,5,5,2,3,5,5,1,1,1,2,,FJ;VR,reactive kinetic sculptures;mechatronic puzzle boxes;mobile robots;projectile launchers
NF,he/him,C,2,2,5,2,4,3,4,3,5,2,BD;KW;IS,FE,food makers;art makers;music makers;mechatronic puzzle boxes;reactive kinetic sculptures;mechatronic penny arcade games;mobile robots;projectile launchers;music audio-visualizers
NO,she/her,A,5,2,4,1,4,3,2,1,4,2,WY;XR;EC,,music makers;responsive playground equipment;mechatronic puzzle boxes;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mechatrionic smart speaker / home assistants;mobile robots;projectile launchers;music audio-visualizers;gantry systems
OD,she/her,A,4,3,1,1,3,3,5,2,1,1,,FJ,food makers;music makers;music audio-visualizers;responsive playground equipment
OG,she/her,B,4,4,5,3,5,3,2,4,3,1,,,Very interested in anything related to music! <3 Semi interested in other applications (speech/ASL recognition;speech recognizers;music makers;fun small robots);mobile robots;music audio-visualizers
OR,she/her,A,4,3,3,3,4,2,3,3,4,5,WY;LC;BC,TS,mechatronic penny arcade games;experimental electromechanical systems;Energy storage devices
OW,she/her,A,3,3,5,2,3,4,2,3,2,1,XR,,food makers;art makers;music makers;mobile robots;music audio-visualizers
OY,he/him,C,4,5,5,4,3,3,3,2,3,2,QT,FJ;RI,art makers;music makers;responsive playground equipment;mechatrionic smart speaker / home assistants;reactive kinetic sculptures;generative/procedural art of all kinds;music audio-visualizers
OZ,he/him,B,2,3,3,1,5,4,1,1,3,2,SZ,,reactive kinetic sculptures;mobile robots;projectile launchers
PG,she/her,B,2,2,2,1,3,2,5,4,5,5,UH;BM;IT;EG,,food makers;mechatronic puzzle boxes;mechatrionic smart speaker / home assistants;mechatronic penny arcade games;mobile robots;projectile launchers;gantry systems
PH,he/him,A,3,1,3,3,5,5,2,3,2,3,BE;DZ;PJ;QE;CK,,food makers;speech recognizers;Consumer electronics (stuff like headphones but smaller-scale & PIE-friendly);mechatronic puzzle boxes;responsive playground equipment;mechatrionic smart speaker / home assistants;reactive kinetic sculptures;mechatronic penny arcade games;mobile robots;projectile launchers
PJ,he/him,A,2,2,3,2,4,2,2,1,4,1,PH;DZ;NF;QE,WB,food makers;art makers;music makers;responsive playground equipment;mechatronic puzzle boxes;reactive kinetic sculptures;mechatronic penny arcade games;mechatrionic smart speaker / home assistants;projectile launchers
PO,he/him,C,5,4,5,3,3,2,2,4,3,4,,,speech recognizers;art makers;music makers;mechatrionic smart speaker / home assistants;mechatronic penny arcade games;music audio-visualizers
PS,she/her,A,5,4,1,1,1,1,5,4,5,4,,FZ,food makers;mechatronic puzzle boxes;music makers;mobile robots;projectile launchers
PW,he/him,A,3,3,3,3,2,1,5,5,5,4,,RI,food makers;art makers;music makers;responsive playground equipment;mechatronic puzzle boxes;reactive kinetic sculptures;mechatronic penny arcade games
QE,he/him,B,2,3,3,2,1,1,4,3,4,2,DZ;PJ,SE;IS,food makers;mechatronic puzzle boxes;mechatrionic smart speaker / home assistants;part sorters;mobile robots;projectile launchers
QO,he/him,B,4,4,2,3,2,4,5,5,5,5,FR;VS;WD;MP;KD,OR;DV,part sorters;mechatronic penny arcade games;food makers;projectile launchers
QT,she/her,C,3,4,1,2,1,1,5,5,5,5,OY,FJ,mechatronic puzzle boxes;mechatrionic smart speaker / home assistants;mobile robots;projectile launchers;gantry systems
QU,he/him,A,1,3,4,2,1,3,5,5,5,4,,XH,
RB,he/him,A,3,5,2,3,5,5,1,2,2,2,YX;SB;YL,KW;GP,art makers;music makers;responsive playground equipment;mechatronic puzzle boxes;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;smart sex toys (sensor response & bluetooth control);gantry systems
RI,she/her,B,4,4,5,2,4,3,4,4,3,3,MM;GD,XO;LD,food makers;mobile robots;gantry systems
RL,he/him,C,2,5,1,1,3,3,5,5,3,3,RW;IU;WK;AS,,art makers;music makers;part sorters;mobile robots;projectile launchers;music audio-visualizers
RN,she/her,B,2,3,2,3,3,4,3,4,4,3,PW;IU;RL,KM;RY,part sorters;food makers;something interactive;projectile launchers
RS,he/him,C,3,3,2,1,1,1,5,5,5,4,NE;DI;RW;WK;JS,JP,food makers;art makers;mechatronic puzzle boxes;responsive playground equipment;mechatrionic smart speaker / home assistants;reactive kinetic sculptures;mechatronic penny arcade games;mobile robots;projectile launchers;gantry systems
RW,she/her,A,3,2,5,4,3,4,1,1,1,2,WK;FN,,food makers;music audio-visualizers;projectile launchers
RY,she/her,C,5,5,4,2,4,3,5,5,5,5,,RN,speech recognizers;music makers;mechatrionic smart speaker / home assistants;part sorters;mobile robots
SB,she/her,A,3,4,1,1,1,1,5,4,5,4,YX;RB;YL,DV;WB,art makers;music makers;mechatronic puzzle boxes;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;music audio-visualizers
SD,he/him,A,2,2,4,3,4,4,2,3,3,2,MX;FR;BS;SR;VE,SB,reactive kinetic sculptures;mobile robots;music audio-visualizers
SE,she/her,B,4,4,1,1,3,1,5,5,5,5,LX,WB;FE,art makers;music makers
SL,he/him,C,3,4,2,3,3,2,5,4,5,3,LX;KA;CI;QE;UP;BL,HK;AC,speech recognizers;reactive kinetic sculptures;mobile robots;projectile launchers;music audio-visualizers
SO,he/him,A,3,3,4,4,3,3,3,3,4,4,YP;KG;IU;EC,,mechatronic puzzle boxes;responsive playground equipment;reactive kinetic sculptures;part sorters;projectile launchers
SP,he/him,A,4,5,4,4,3,3,5,5,5,4,DE;CP;EI,WB,music makers;part sorters;mechatronic penny arcade games;mobile robots;projectile launchers
SR,he/him,A,3,4,5,5,3,3,2,2,1,1,MX;SD,,food makers;art makers;music makers;reactive kinetic sculptures;mobile robots;projectile launchers
SZ,she/her,C,3,3,2,2,2,2,5,4,5,4,OZ;VD,VR;JP,food makers;speech recognizers;mechatronic puzzle boxes;mechatrionic smart speaker / home assistants;mechatronic penny arcade games;mobile robots;projectile launchers
TE,he/him,C,5,4,1,2,3,2,5,4,5,3,KA;LS;ZA,,mechatronic puzzle boxes;responsive playground equipment;part sorters;mechatronic penny arcade games;mobile robots;projectile launchers;gantry systems
TS,she/her,A,2,3,2,2,1,2,5,4,5,5,,OR,art makers;responsive playground equipment;mechatronic penny arcade games;mobile robots;projectile launchers;music audio-visualizers
TT,she/her,B,4,4,3,5,5,5,2,4,2,4,,VR;FJ,food makers;art makers;mechatrionic smart speaker / home assistants;Light art;music audio-visualizers
TZ,she/her,A,4,4,5,4,5,4,3,3,1,2,NA;DE;ES;SP;LO;CP,,reactive kinetic sculptures;art makers
UC,he/him,A,2,3,1,1,3,2,4,2,3,2,UY;OG;TE;AJ,,food makers;music makers;responsive playground equipment;mechatrionic smart speaker / home assistants;music audio-visualizers
UH,he/him,B,2,4,3,5,5,5,2,3,1,1,PG;BM;EG;WD;IT,RY,food makers;art makers;mechatronic puzzle boxes;responsive playground equipment;reactive kinetic sculptures
UL,he/him,B,2,4,2,2,5,5,2,2,1,2,,,food makers;speech recognizers;mobile robots;projectile launchers;gantry systems
UM,she/her,C,2,3,4,4,2,4,2,4,4,3,,RN,reactive kinetic sculptures;responsive playground equipment;music audio-visualizers;projectile launchers
UO,he/him,C,3,2,4,3,3,2,5,5,5,4,LT;YA;VE,PG;DE,reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mobile robots;projectile launchers
UP,she/her,C,3,3,4,4,4,4,1,1,1,1,CI;SL;BL,WB,reactive kinetic sculptures;mobile robots;projectile launchers
UR,he/him,B,3,5,2,2,3,3,5,4,5,4,BR;IE;HD,NA,Wearable devices;music makers;mechatrionic smart speaker / home assistants;reactive kinetic sculptures;part sorters;gantry systems
UY,he/him,B,4,5,3,3,2,2,4,3,5,4,,,food makers;music makers;responsive playground equipment;mechatrionic smart speaker / home assistants
VD,she/her,A,2,3,1,1,5,5,1,2,1,1,BC;RW;SP;BY;UM;BL,PH;SZ,food makers;mechatronic puzzle boxes;music makers;mechatrionic smart speaker / home assistants;mechatronic penny arcade games;mobile robots
VE,he/him,B,2,4,4,1,4,4,4,3,3,2,LT;BS;UO,,food makers;speech recognizers;art makers;mechatrionic smart speaker / home assistants;reactive kinetic sculptures;mechatronic penny arcade games;mobile robots;projectile launchers;music audio-visualizers;gantry systems
VR,he/him,C,3,3,4,2,4,3,1,1,1,1,NO,,mechatronic puzzle boxes;responsive playground equipment;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mobile robots;projectile launchers
VS,she/her,A,3,3,2,1,2,3,4,5,5,3,FR;VS;QO;MP;KD,DV,reactive kinetic sculptures;gantry systems;mobile robots;projectile launchers
VV,she/her,C,3,3,4,4,3,3,1,1,3,2,JP;VR;XR;WY;JL;YQ,,food makers;art makers;music makers;projectile launchers;music audio-visualizers
VX,she/her,A,4,3,4,2,5,5,2,2,2,1,DZ;FG;EW;PJ,,food makers;art makers;music makers;mechatronic puzzle boxes;reactive kinetic sculptures;mechatronic penny arcade games
WB,he/him,C,2,3,3,3,4,3,2,3,4,4,JN;ZV;LG;YL,ND;LS,food makers;art makers;mechatronic puzzle boxes;responsive playground equipment;reactive kinetic sculptures;gantry systems
WD,he/him,A,5,4,2,3,2,4,5,5,5,5,UH;PG;BM;EG;IT,,reactive kinetic sculptures;food makers;mobile robots;projectile launchers
WK,she/her,C,3,2,3,4,5,5,1,1,3,3,RS;AS;RW;RL;IU;FN,,speech recognizers;mechatronic puzzle boxes;music makers;music audio-visualizers
WP,she/her,A,3,5,2,3,1,3,3,4,5,4,GN;LX;GP;EO,BD;FE,food makers;music makers;part sorters;projectile launchers;music audio-visualizers
WQ,she/her,C,3,3,2,2,2,2,5,4,5,4,FX;TZ;ES;SP;LO,RN;HQ,reactive kinetic sculptures;mobile robots;Fabrication Intesive Projects
WS,she/her,C,4,3,5,3,3,4,2,4,2,2,MM;UL,,part sorters;mobile robots;Game related stuff
WY,he/him,B,2,3,3,3,4,3,2,5,3,3,YO;OR;VD;LC,XO,food makers;speech recognizers;art makers;music makers;responsive playground equipment;mechatronic puzzle boxes;reactive kinetic sculptures;mechatronic penny arcade games;mechatrionic smart speaker / home assistants;mobile robots;music audio-visualizers;gantry systems
XG,she/her,C,2,3,3,2,2,3,4,4,4,4,YV;HQ;IO;ZW,,music makers;responsive playground equipment;mechatronic puzzle boxes;part sorters;mechatronic penny arcade games;projectile launchers
XH,he/him,C,4,2,4,2,4,4,1,2,3,2,,,gantry systems;mechatrionic smart speaker / home assistants;mobile robots;projectile launchers;Aerial systems (UAVs)
XI,she/her,B,4,4,3,3,4,3,1,1,2,1,,,art makers;music makers;responsive playground equipment;mechatrionic smart speaker / home assistants;reactive kinetic sculptures;generative/procedural art of all kinds;music audio-visualizers
XO,they/them,B,4,4,2,2,3,3,5,5,4,3,,WY;RN,food makers;art makers;music makers;responsive playground equipment;mechatronic puzzle boxes;reactive kinetic sculptures;mechatronic penny arcade games;projectile launchers;Slide Rule?
XR,he/him,B,4,4,5,4,5,5,1,1,2,2,PW;FR;AQ;OW;MS;YX,JR;ZW,speech recognizers;art makers;music makers;responsive playground equipment;mechatronic puzzle boxes;reactive kinetic sculptures;mechatronic penny arcade games;mobile robots;projectile launchers
XX,she/her,C,2,3,3,2,5,4,1,2,1,3,,RL;WK,
YA,he/him,A,3,3,4,2,4,4,2,1,2,1,RY;TZ;BC;LT;LO;JI,JL;DQ,mechatronic puzzle boxes;part sorters;mobile robots;projectile launchers;gantry systems
YI,he/him,A,2,4,3,4,5,5,1,1,1,1,YN;UO;LO,RY,art makers;music makers;mechatronic penny arcade games;mobile robots;music audio-visualizers
